Gene,ABE-MEM 1h,ABE-MEM 3h A,ABE-MEM 3h B,ABE-NES 1h,ABE-NES 3h A,ABE-NES 3h B,ABE-NLS 1h,ABE-NLS 3h A,ABE-NLS 3h B,ABE-ACT 1h A,ABE-ACT 1h B,ABE-ACT 3h A,ABE-ACT 3h B,ABE-NM 1h A,ABE-NM 1h B,ABE-NM 3h A,ABE-NM 3h B,ABE-LD 1h A,ABE-LD 1h B,ABE-LD 3h A,ABE-LD 3h B,ABE-GOL 1h A,ABE-GOL 1h B,ABE-GOL 3h A,ABE-GOL 3h B,ABE-ERM 1h A,ABE-ERM 1h B,ABE-ERM 3h A,ABE-ERM 3h B,ABE-LAMP1 1h A,ABE-LAMP1 1h B,ABE-LAMP1 3h A,ABE-LAMP1 3h B,ABE-LC3 1h A,ABE-LC3 1h B,ABE-LC3 3h A,ABE-LC3 3h B,ABE-NOLS 1h A,ABE-NOLS 1h B,ABE-NOLS 3h A,ABE-NOLS 3h B,ABE-NUP 1h A,ABE-NUP 1h B,ABE-NUP 3h A,ABE-NUP 3h B,ABE-OMM 1h A,ABE-OMM 1h B,ABE-OMM 3h A,ABE-OMM 3h B,ABE-PLIN2 1h A,ABE-PLIN2 1h B,ABE-PLIN2 3h A,ABE-PLIN2 3h B,ABE-PTS1 1h A,ABE-PTS1 1h B,ABE-PTS1 3h A,ABE-PTS1 3h B,ABE-RAB10 1h A,ABE-RAB10 1h B,ABE-RAB10 3h A,ABE-RAB10 3h B,ABE-RABIF 1h A,ABE-RABIF 1h B,ABE-RABIF 3h A,ABE-RABIF 3h B,ABE-SQSTM1 1h A,ABE-SQSTM1 1h B,ABE-SQSTM1 3h A,ABE-SQSTM1 3h B,ABE-HSPA8-CH 1h A,ABE-HSPA8-CH 1h B,ABE-HSPA8-CH 3h A,ABE-HSPA8-CH 3h B,ABE-HSPA8-NC 1h A,ABE-HSPA8-NC 1h B,ABE-HSPA8-NC 3h A,ABE-HSPA8-NC 3h B,ABE-LAMP2A 1h A,ABE-LAMP2A 1h B,ABE-LAMP2A 3h A,ABE-LAMP2A 3h B,ABE-LMNA 1h A,ABE-LMNA 1h B,ABE-LMNA 3h A,ABE-LMNA 3h B,ABE-TDP208 1h A,ABE-TDP208 1h B,ABE-TDP208 3h A,ABE-TDP208 3h B
DCUN1D2,,0.0,0.0,7.0,42.0,,,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.0,,9.0
RRP8,0.0,0.0,0.0,47.0,114.0,113.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,132.0,53.0,72.0,0.0,0.0,0.0,0.0,223.0,354.0,9.0,5.0,,,18.0,32.0,0.0,0.0,0.0,0.0,10.0,88.0,0.0,0.0,,0.0,0.0,0.0,4.0,,3.0,2.0,0.0,,0.0,6.0,,,0.0,34.0,0.0,,0.0,0.0,0.0,0.0,12.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,18.0
BTF3,0.0,3.0,0.0,90.0,436.0,87.0,0.0,47.0,29.0,254.0,33.0,107.0,20.0,0.0,70.0,15.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,6.0,143.0,44.0,77.0,0.0,8.0,0.0,0.0,11.0,9.0,10.0,20.0,0.0,5.0,5.0,5.0,1.0,6.0,0.0,0.0,4.0,28.0,13.0,40.0,0.0,9.0,1.0,0.0,16.0,44.0,8.0,8.0,17.0,80.0,18.0,65.0,60.0,43.0,193.0,95.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,132.0,23.0,0.0,34.0,7.0
MED28,0.0,0.0,,21.0,128.0,39.0,0.0,0.0,0.0,,0.0,,,,1.0,,0.0,,,,,,0.0,0.0,0.0,7.0,29.0,,,,,0.0,0.0,,,0.0,9.0,2.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,5.0,,,,,28.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,1.0,,
RNF11,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,,1.0,0.0,9.0,2.0,,,,,0.0,,0.0,,,0.0,,,0.0,,0.0,6.0,,,,,0.0,,8.0,,,,,,0.0,0.0,,0.0,1.0,0.0,0.0,7.0,,,,0.0,,,,,,5.0,0.0,0.0,0.0,6.0,,,,,,,0.0,0.0,0.0,,,0.0,,1.0,,,0.0,,,,0.0,,,8.0,,146.0
ISOC2,0.0,3.0,1.0,35.0,283.0,101.0,0.0,1.0,0.0,16.0,4.0,14.0,12.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,2.0,96.0,0.0,1.0,0.0,0.0,9.0,10.0,19.0,9.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,28.0,5.0,13.0,0.0,16.0,156.0,92.0,35.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,14.0,2.0,0.0,41.0,0.0,0.0,0.0,44.0
SERPINB6,0.0,12.0,11.0,37.0,103.0,204.0,11.0,42.0,0.0,0.0,12.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,33.0,74.0,87.0,0.0,3.0,0.0,0.0,51.0,107.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,29.0,77.0,33.0,33.0,4.0,11.0,20.0,171.0,33.0,102.0,38.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,100.0,5.0,18.0,,16.0
HSD3B2,0.0,4.0,0.0,21.0,48.0,0.0,0.0,0.0,0.0,21.0,0.0,80.0,0.0,,0.0,,7.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,,,0.0,,,0.0,,0.0,,0.0,,7.0,,,0.0,0.0,0.0,0.0,43.0,1.0,,,0.0,0.0,7.0,5.0,43.0,26.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0
ADIPOR1,53.0,67.0,104.0,175.0,438.0,222.0,0.0,0.0,0.0,49.0,75.0,80.0,21.0,3.0,1.0,0.0,0.0,0.0,26.0,18.0,27.0,0.0,0.0,1.0,0.0,11.0,18.0,11.0,15.0,0.0,5.0,19.0,59.0,90.0,69.0,123.0,94.0,0.0,19.0,0.0,14.0,0.0,9.0,0.0,0.0,44.0,241.0,47.0,262.0,0.0,1.0,0.0,0.0,8.0,6.0,9.0,33.0,497.0,282.0,118.0,611.0,28.0,31.0,4.0,136.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,6.0,0.0,33.0,5.0,0.0,2.0,24.0,0.0,1.0,51.0,3.0,103.0
CSTA,0.0,6.0,10.0,144.0,278.0,174.0,10.0,1.0,15.0,43.0,15.0,86.0,10.0,0.0,10.0,6.0,11.0,5.0,0.0,19.0,0.0,1.0,0.0,4.0,0.0,26.0,44.0,46.0,37.0,1.0,0.0,0.0,0.0,241.0,266.0,64.0,94.0,0.0,5.0,13.0,23.0,0.0,0.0,1.0,0.0,0.0,18.0,125.0,164.0,0.0,0.0,0.0,31.0,16.0,58.0,53.0,41.0,30.0,20.0,11.0,50.0,12.0,75.0,12.0,71.0,33.0,306.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,16.0,,14.0,11.0,1.0,8.0,2.0,63.0
